domain,n_agents,topology_family,condition,prompt_id,variation_type,answer_entropy,flip_rate,self_consistency,total_tokens,total_cost
games,4,star,team,3,seed,0.6037,0.1455,0.8296,3284,0.009852
games,4,full,team,3,seed,0.698,0.1002,0.8264,3345,0.010035
games,4,hierarchy,team,3,seed,0.589,0.1811,0.7732,3216,0.009648
games,6,chain,team,3,seed,0.5424,0.1706,0.742,4873,0.014619
games,6,star,team,3,seed,0.6687,0.0421,0.7728,4884,0.014652
games,6,full,team,3,seed,0.5212,0.1099,0.7068,4957,0.014871
games,6,hierarchy,team,3,seed,0.7143,0.0934,0.8178,4642,0.013926
games,8,chain,team,3,seed,0.4905,0.1112,0.7483,7232,0.021696
games,8,star,team,3,seed,0.5049,0.1926,0.8539,6681,0.020043
games,8,full,team,3,seed,0.5911,0.1209,0.8464,6210,0.01863
games,8,hierarchy,team,3,seed,0.4733,0.1054,0.8345,5645,0.016935
games,1,none,single_llm,3,paraphrase,1.3974,0.3986,0.592,860,0.00258
games,4,none,ensemble,3,paraphrase,1.1985,0.3465,0.5157,3178,0.009534
games,6,none,ensemble,3,paraphrase,0.7575,0.2614,0.7407,5106,0.015318
games,8,none,ensemble,3,paraphrase,0.7461,0.2176,0.692,5621,0.016863
games,4,chain,team,3,paraphrase,0.7429,0.2925,0.7578,3394,0.010182
games,4,star,team,3,paraphrase,0.5309,0.2622,0.7336,3332,0.009996
games,4,full,team,3,paraphrase,0.8916,0.1475,0.7104,3389,0.010167
games,4,hierarchy,team,3,paraphrase,0.6218,0.319,0.7384,3470,0.01041
games,6,chain,team,3,paraphrase,0.5945,0.2673,0.768,4911,0.014733
games,6,star,team,3,paraphrase,0.625,0.2156,0.7015,4729,0.014187
games,6,full,team,3,paraphrase,0.5563,0.2001,0.8046,4291,0.012873
games,6,hierarchy,team,3,paraphrase,0.6091,0.274,0.6974,4405,0.013215
games,8,chain,team,3,paraphrase,0.5969,0.2471,0.7256,7250,0.02175
games,8,star,team,3,paraphrase,0.6123,0.217,0.7827,7889,0.023667
games,8,full,team,3,paraphrase,0.4762,0.0832,0.8452,6107,0.018321
games,8,hierarchy,team,3,paraphrase,0.5575,0.2457,0.6649,5598,0.016794
games,1,none,single_llm,4,seed,0.9598,0.3024,0.5808,841,0.002523
games,4,none,ensemble,4,seed,0.9332,0.1794,0.5114,3217,0.009651
games,6,none,ensemble,4,seed,0.7616,0.2502,0.7321,4866,0.014598
games,8,none,ensemble,4,seed,0.8412,0.2198,0.7618,5949,0.017847
games,4,chain,team,4,seed,0.712,0.2279,0.781,3074,0.009222
games,4,star,team,4,seed,0.7321,0.1794,0.7641,3465,0.010395
games,4,full,team,4,seed,0.4507,0.1181,0.7059,2453,0.007359
games,4,hierarchy,team,4,seed,0.6322,0.23,0.7458,3263,0.009789
games,6,chain,team,4,seed,0.6805,0.2278,0.7512,5449,0.016347
games,6,star,team,4,seed,0.5308,0.1112,0.7549,4089,0.012267
games,6,full,team,4,seed,0.4028,0.1104,0.8348,5625,0.016875
games,6,hierarchy,team,4,seed,0.4034,0.1705,0.7226,5027,0.015081
games,8,chain,team,4,seed,0.4836,0.0801,0.8114,6012,0.018036
games,8,star,team,4,seed,0.3933,0.0805,0.7623,6673,0.020019
games,8,full,team,4,seed,0.3977,0.1165,0.8231,7245,0.021735
games,8,hierarchy,team,4,seed,0.4324,0.0743,0.8384,6187,0.018561
games,1,none,single_llm,4,paraphrase,1.4472,0.433,0.5008,827,0.002481
games,4,none,ensemble,4,paraphrase,1.2141,0.4138,0.6142,3251,0.009753
games,6,none,ensemble,4,paraphrase,1.0273,0.245,0.67,4787,0.014361
games,8,none,ensemble,4,paraphrase,0.8677,0.2267,0.5946,5073,0.015219
games,4,chain,team,4,paraphrase,0.6983,0.2617,0.6853,3819,0.011457
games,4,star,team,4,paraphrase,0.8706,0.2115,0.7474,3069,0.009207
games,4,full,team,4,paraphrase,0.7016,0.2374,0.771,3091,0.009273
games,4,hierarchy,team,4,paraphrase,0.8864,0.2143,0.7203,4031,0.012093
games,6,chain,team,4,paraphrase,0.6739,0.2921,0.7192,5078,0.015234
games,6,star,team,4,paraphrase,0.5959,0.1979,0.7056,5006,0.015018
games,6,full,team,4,paraphrase,0.4864,0.2114,0.8089,4975,0.014925
games,6,hierarchy,team,4,paraphrase,0.593,0.2329,0.7192,5249,0.015747
games,8,chain,team,4,paraphrase,0.3935,0.1999,0.6255,5443,0.016329
games,8,star,team,4,paraphrase,0.6631,0.2191,0.719,5438,0.016314
games,8,full,team,4,paraphrase,0.2002,0.1416,0.886,6678,0.020034
games,8,hierarchy,team,4,paraphrase,0.4907,0.2119,0.667,6209,0.018627
games,1,none,single_llm,5,seed,1.2149,0.3448,0.6054,827,0.002481
games,4,none,ensemble,5,seed,0.9802,0.2156,0.7039,3721,0.011163
games,6,none,ensemble,5,seed,0.7018,0.1829,0.7701,4708,0.014124
games,8,none,ensemble,5,seed,0.9185,0.1862,0.8173,6484,0.019452
games,4,chain,team,5,seed,0.7558,0.2826,0.7219,2898,0.008694
games,4,star,team,5,seed,0.6351,0.2081,0.6917,3403,0.010209
games,4,full,team,5,seed,0.5961,0.2159,0.6603,2948,0.008844
games,4,hierarchy,team,5,seed,0.5314,0.167,0.7724,3142,0.009426
games,6,chain,team,5,seed,0.5463,0.1684,0.7648,4315,0.012945
games,6,star,team,5,seed,0.5923,0.1712,0.8039,5067,0.015201
games,6,full,team,5,seed,0.5212,0.2061,0.7903,4652,0.013956
games,6,hierarchy,team,5,seed,0.4662,0.1135,0.7124,4373,0.013119
games,8,chain,team,5,seed,0.4896,0.1667,0.7676,5910,0.01773
games,8,star,team,5,seed,0.5367,0.1529,0.787,5982,0.017946
games,8,full,team,5,seed,0.4715,0.1109,0.7326,6356,0.019068
games,8,hierarchy,team,5,seed,0.4929,0.0973,0.7945,5468,0.016404
games,1,none,single_llm,5,paraphrase,1.4804,0.4849,0.4923,829,0.002487
games,4,none,ensemble,5,paraphrase,0.6908,0.2522,0.5924,2856,0.008568
games,6,none,ensemble,5,paraphrase,0.9839,0.3871,0.5794,4398,0.013194
games,8,none,ensemble,5,paraphrase,0.8583,0.3489,0.6167,6559,0.019677
games,4,chain,team,5,paraphrase,0.9921,0.2139,0.6359,3064,0.009192
games,4,star,team,5,paraphrase,0.7079,0.2825,0.7421,2632,0.007896
games,4,full,team,5,paraphrase,0.7815,0.2069,0.8037,2999,0.008997
games,4,hierarchy,team,5,paraphrase,0.7163,0.2816,0.7581,3343,0.010029
games,6,chain,team,5,paraphrase,0.483,0.2563,0.6629,4912,0.014736
games,6,star,team,5,paraphrase,0.4592,0.2226,0.7043,4184,0.012552
games,6,full,team,5,paraphrase,0.643,0.1944,0.7239,5496,0.016488
games,6,hierarchy,team,5,paraphrase,0.5775,0.216,0.7481,4502,0.013506
games,8,chain,team,5,paraphrase,0.6238,0.192,0.7044,7272,0.021816
games,8,star,team,5,paraphrase,0.4226,0.0868,0.8355,8031,0.024093
games,8,full,team,5,paraphrase,0.4561,0.0859,0.7495,6216,0.018648
games,8,hierarchy,team,5,paraphrase,0.5277,0.1488,0.774,6735,0.020205
games,1,none,single_llm,6,seed,0.9758,0.392,0.6937,813,0.002439
games,4,none,ensemble,6,seed,0.8595,0.2429,0.6869,2646,0.007938
games,6,none,ensemble,6,seed,0.8379,0.2077,0.8009,4716,0.014148
games,8,none,ensemble,6,seed,0.9501,0.1531,0.7652,6604,0.019812
games,4,chain,team,6,seed,0.6431,0.2271,0.8006,3096,0.009288
games,4,star,team,6,seed,0.5108,0.1893,0.7249,3090,0.00927
games,4,full,team,6,seed,0.6418,0.1018,0.6992,3354,0.010062
games,4,hierarchy,team,6,seed,0.6477,0.0974,0.7992,3287,0.009861
games,6,chain,team,6,seed,0.5002,0.1221,0.7964,4967,0.014901
games,6,star,team,6,seed,0.7599,0.1615,0.804,4719,0.014157
games,6,full,team,6,seed,0.5733,0.1497,0.8572,4549,0.013647
games,6,hierarchy,team,6,seed,0.4981,0.1356,0.8142,5519,0.016557
games,8,chain,team,6,seed,0.4508,0.1363,0.7807,6242,0.018726
games,8,star,team,6,seed,0.5419,0.0333,0.7537,5899,0.017697
games,8,full,team,6,seed,0.1846,0.0648,0.7592,6271,0.018813
games,8,hierarchy,team,6,seed,0.578,0.1235,0.7335,6363,0.019089
games,1,none,single_llm,6,paraphrase,1.4374,0.3514,0.4463,844,0.002532
games,4,none,ensemble,6,paraphrase,0.9534,0.3424,0.6092,3424,0.010272
games,6,none,ensemble,6,paraphrase,0.774,0.2867,0.6374,4216,0.012648
games,8,none,ensemble,6,paraphrase,0.6424,0.3026,0.6689,5745,0.017235
games,4,chain,team,6,paraphrase,0.8004,0.3251,0.586,2721,0.008163
games,4,star,team,6,paraphrase,0.6677,0.3084,0.7441,3445,0.010335
games,4,full,team,6,paraphrase,0.616,0.1852,0.7624,3218,0.009654
games,4,hierarchy,team,6,paraphrase,0.8349,0.2525,0.7339,3250,0.00975
games,6,chain,team,6,paraphrase,0.7294,0.267,0.6336,3721,0.011163
games,6,star,team,6,paraphrase,0.7018,0.2523,0.6936,3907,0.011721
games,6,full,team,6,paraphrase,0.5815,0.222,0.8445,5047,0.015141
games,6,hierarchy,team,6,paraphrase,0.5844,0.179,0.7352,4656,0.013968
games,8,chain,team,6,paraphrase,0.4752,0.2953,0.8143,7127,0.021381
games,8,star,team,6,paraphrase,0.4346,0.2175,0.787,6683,0.020049
games,8,full,team,6,paraphrase,0.6216,0.1887,0.802,6807,0.020421
games,8,hierarchy,team,6,paraphrase,0.5807,0.122,0.7492,6044,0.018132
games,1,none,single_llm,7,seed,1.008,0.4509,0.671,908,0.002724
games,4,none,ensemble,7,seed,0.9306,0.3175,0.6507,3264,0.009792
games,6,none,ensemble,7,seed,0.687,0.2471,0.6936,4174,0.012522
games,8,none,ensemble,7,seed,0.7439,0.2043,0.8379,6972,0.020916
games,4,chain,team,7,seed,0.7311,0.23,0.7422,3135,0.009405
games,4,star,team,7,seed,0.5718,0.184,0.7327,2799,0.008397
games,4,full,team,7,seed,0.7011,0.1857,0.6907,3160,0.00948
games,4,hierarchy,team,7,seed,0.7996,0.2424,0.8113,3212,0.009636
games,6,chain,team,7,seed,0.4871,0.1314,0.7719,4982,0.014946
games,6,star,team,7,seed,0.6503,0.1887,0.778,4202,0.012606
games,6,full,team,7,seed,0.4597,0.1334,0.7845,4522,0.013566
games,6,hierarchy,team,7,seed,0.5669,0.1346,0.7432,4949,0.014847
games,8,chain,team,7,seed,0.4565,0.1631,0.7787,5670,0.01701
games,8,star,team,7,seed,0.3985,0.1808,0.7369,5045,0.015135
games,8,full,team,7,seed,0.2305,0.1045,0.8065,6324,0.018972
games,8,hierarchy,team,7,seed,0.5881,0.0264,0.8048,7399,0.022197
games,1,none,single_llm,7,paraphrase,1.1108,0.3872,0.4573,728,0.002184
games,4,none,ensemble,7,paraphrase,0.9408,0.3814,0.7202,3092,0.009276
games,6,none,ensemble,7,paraphrase,1.1268,0.2891,0.7552,4755,0.014265
games,8,none,ensemble,7,paraphrase,0.8457,0.2866,0.8807,6944,0.020832
games,4,chain,team,7,paraphrase,0.7393,0.3188,0.6819,3043,0.009129
games,4,star,team,7,paraphrase,0.8509,0.2512,0.7439,3204,0.009612
games,4,full,team,7,paraphrase,0.7637,0.247,0.6432,3413,0.010239
games,4,hierarchy,team,7,paraphrase,0.6818,0.2023,0.7171,3226,0.009678
games,6,chain,team,7,paraphrase,0.5822,0.268,0.6475,4604,0.013812
games,6,star,team,7,paraphrase,0.5431,0.2029,0.7586,4316,0.012948
games,6,full,team,7,paraphrase,0.644,0.1873,0.66,3859,0.011577
games,6,hierarchy,team,7,paraphrase,0.6204,0.2059,0.7295,4786,0.014358
games,8,chain,team,7,paraphrase,0.5992,0.2512,0.6694,5649,0.016947
games,8,star,team,7,paraphrase,0.4173,0.1949,0.8172,6123,0.018369
games,8,full,team,7,paraphrase,0.2465,0.0952,0.7233,6043,0.018129
games,8,hierarchy,team,7,paraphrase,0.5058,0.1949,0.7294,7071,0.021213
games,1,none,single_llm,8,seed,1.0986,0.2983,0.5835,677,0.002031
games,4,none,ensemble,8,seed,0.9468,0.2551,0.6412,3708,0.011124
games,6,none,ensemble,8,seed,0.7435,0.3303,0.6765,4187,0.012561
games,8,none,ensemble,8,seed,0.7584,0.1545,0.6849,6654,0.019962
games,4,chain,team,8,seed,0.7856,0.1951,0.7894,3570,0.01071
games,4,star,team,8,seed,0.8236,0.2112,0.8382,2598,0.007794
games,4,full,team,8,seed,0.6182,0.1353,0.786,3017,0.009051
games,4,hierarchy,team,8,seed,0.6834,0.2753,0.7515,3332,0.009996
games,6,chain,team,8,seed,0.5484,0.1778,0.7549,5015,0.015045
games,6,star,team,8,seed,0.6381,0.2106,0.8001,5082,0.015246
games,6,full,team,8,seed,0.3765,0.1212,0.8416,5215,0.015645
games,6,hierarchy,team,8,seed,0.5628,0.1902,0.7992,5376,0.016128
games,8,chain,team,8,seed,0.5256,0.1391,0.7818,4524,0.013572
games,8,star,team,8,seed,0.485,0.0,0.7088,6689,0.020067
games,8,full,team,8,seed,0.4644,0.0568,0.7694,7277,0.021831
games,8,hierarchy,team,8,seed,0.4183,0.2231,0.7849,6661,0.019983
games,1,none,single_llm,8,paraphrase,1.5225,0.4179,0.4398,791,0.002373
games,4,none,ensemble,8,paraphrase,0.9757,0.2418,0.5947,2962,0.008886
games,6,none,ensemble,8,paraphrase,1.0091,0.289,0.633,4749,0.014247
games,8,none,ensemble,8,paraphrase,0.8568,0.2992,0.63,5733,0.017199
games,4,chain,team,8,paraphrase,0.9205,0.2635,0.6292,3342,0.010026
games,4,star,team,8,paraphrase,0.8063,0.1888,0.7415,3435,0.010305
games,4,full,team,8,paraphrase,0.7674,0.2553,0.6698,3305,0.009915
games,4,hierarchy,team,8,paraphrase,0.7497,0.2407,0.7635,3673,0.011019
games,6,chain,team,8,paraphrase,0.831,0.2873,0.7091,4969,0.014907
games,6,star,team,8,paraphrase,0.6783,0.2096,0.7512,5195,0.015585
games,6,full,team,8,paraphrase,0.5657,0.1556,0.7339,5104,0.015312
games,6,hierarchy,team,8,paraphrase,0.6219,0.2283,0.7681,4620,0.01386
games,8,chain,team,8,paraphrase,0.6523,0.2285,0.6633,7323,0.021969
games,8,star,team,8,paraphrase,0.4766,0.1171,0.7027,5746,0.017238
games,8,full,team,8,paraphrase,0.5019,0.1524,0.7482,6796,0.020388
games,8,hierarchy,team,8,paraphrase,0.5807,0.206,0.7655,6794,0.020382
games,1,none,single_llm,9,seed,0.8838,0.3281,0.3974,802,0.002406
games,4,none,ensemble,9,seed,0.8994,0.3023,0.7213,3264,0.009792
games,6,none,ensemble,9,seed,0.7581,0.2515,0.6583,4799,0.014397
games,8,none,ensemble,9,seed,0.8683,0.1804,0.7783,6833,0.020499
games,4,chain,team,9,seed,0.6345,0.259,0.7749,3232,0.009696
games,4,star,team,9,seed,0.6038,0.1556,0.7431,3373,0.010119
games,4,full,team,9,seed,0.5544,0.1875,0.7179,3134,0.009402
games,4,hierarchy,team,9,seed,0.711,0.2978,0.6911,3671,0.011013
games,6,chain,team,9,seed,0.5866,0.1912,0.7605,5013,0.015039
games,6,star,team,9,seed,0.5062,0.2029,0.7618,5343,0.016029
games,6,full,team,9,seed,0.4272,0.1223,0.741,5018,0.015054
games,6,hierarchy,team,9,seed,0.6861,0.1516,0.7648,4264,0.012792
games,8,chain,team,9,seed,0.4737,0.0896,0.7194,6545,0.019635
games,8,star,team,9,seed,0.5786,0.2357,0.7657,7318,0.021954
games,8,full,team,9,seed,0.441,0.0973,0.8266,6439,0.019317
games,8,hierarchy,team,9,seed,0.4777,0.117,0.7151,5412,0.016236
games,1,none,single_llm,9,paraphrase,1.378,0.3934,0.4683,800,0.0024
games,4,none,ensemble,9,paraphrase,1.0754,0.319,0.5706,3592,0.010776
games,6,none,ensemble,9,paraphrase,1.0877,0.312,0.7084,5396,0.016188
games,8,none,ensemble,9,paraphrase,0.9656,0.299,0.7259,6732,0.020196
games,4,chain,team,9,paraphrase,0.7003,0.308,0.6322,2945,0.008835
games,4,star,team,9,paraphrase,0.8904,0.2836,0.8044,3113,0.009339
games,4,full,team,9,paraphrase,0.6148,0.2204,0.7451,3225,0.009675
games,4,hierarchy,team,9,paraphrase,0.8934,0.2455,0.7376,2883,0.008649
games,6,chain,team,9,paraphrase,0.6966,0.2349,0.6771,4686,0.014058
games,6,star,team,9,paraphrase,0.5832,0.1939,0.8332,4752,0.014256
games,6,full,team,9,paraphrase,0.5472,0.1008,0.7099,4673,0.014019
games,6,hierarchy,team,9,paraphrase,0.553,0.27,0.7264,5418,0.016254
games,8,chain,team,9,paraphrase,0.5828,0.2148,0.7206,6402,0.019206
games,8,star,team,9,paraphrase,0.6985,0.0905,0.6549,6052,0.018156
games,8,full,team,9,paraphrase,0.4981,0.1909,0.7887,6154,0.018462
games,8,hierarchy,team,9,paraphrase,0.6486,0.2345,0.7542,7016,0.021048
games,1,none,single_llm,10,seed,1.2409,0.3163,0.5988,808,0.002424
games,4,none,ensemble,10,seed,0.9002,0.3236,0.5029,2746,0.008238
games,6,none,ensemble,10,seed,0.6757,0.2091,0.6747,4076,0.012228
games,8,none,ensemble,10,seed,0.6318,0.1653,0.8774,7553,0.022659
games,4,chain,team,10,seed,0.6888,0.2055,0.6825,2589,0.007767
games,4,star,team,10,seed,0.6683,0.1501,0.7658,2687,0.008061
games,4,full,team,10,seed,0.5738,0.1759,0.7983,3333,0.009999
games,4,hierarchy,team,10,seed,0.568,0.2342,0.72,3402,0.010206
games,6,chain,team,10,seed,0.5705,0.1197,0.7388,4975,0.014925
games,6,star,team,10,seed,0.5829,0.1391,0.8612,5283,0.015849
games,6,full,team,10,seed,0.4659,0.1547,0.8913,5741,0.017223
games,6,hierarchy,team,10,seed,0.4188,0.1177,0.8489,4292,0.012876
games,8,chain,team,10,seed,0.3644,0.1339,0.786,6334,0.019002
games,8,star,team,10,seed,0.3816,0.0964,0.7594,5837,0.017511
games,8,full,team,10,seed,0.6448,0.1152,0.8493,6086,0.018258
games,8,hierarchy,team,10,seed,0.4481,0.1048,0.6524,5518,0.016554
games,1,none,single_llm,10,paraphrase,1.0084,0.275,0.4263,905,0.002715
games,4,none,ensemble,10,paraphrase,0.9747,0.3745,0.6347,3450,0.01035
games,6,none,ensemble,10,paraphrase,0.7901,0.3135,0.6937,4523,0.013569
games,8,none,ensemble,10,paraphrase,0.8971,0.2966,0.657,5681,0.017043
games,4,chain,team,10,paraphrase,0.6916,0.2835,0.7164,2946,0.008838
games,4,star,team,10,paraphrase,0.7627,0.2728,0.7609,3696,0.011088
games,4,full,team,10,paraphrase,0.8577,0.1899,0.8242,3030,0.00909
games,4,hierarchy,team,10,paraphrase,0.8845,0.2627,0.6994,2621,0.007863
games,6,chain,team,10,paraphrase,0.6344,0.1724,0.763,5528,0.016584
games,6,star,team,10,paraphrase,0.5219,0.2168,0.7084,4498,0.013494
games,6,full,team,10,paraphrase,0.649,0.1832,0.8416,4568,0.013704
games,6,hierarchy,team,10,paraphrase,0.7215,0.2186,0.7744,4585,0.013755
games,8,chain,team,10,paraphrase,0.5717,0.2087,0.6832,6823,0.020469
games,8,star,team,10,paraphrase,0.5917,0.2071,0.8318,7327,0.021981
games,8,full,team,10,paraphrase,0.4592,0.1783,0.7338,6414,0.019242
games,8,hierarchy,team,10,paraphrase,0.4867,0.2581,0.7632,6260,0.01878
games,1,none,single_llm,11,seed,1.379,0.2198,0.409,863,0.002589
games,4,none,ensemble,11,seed,0.9073,0.2625,0.5704,3192,0.009576
games,6,none,ensemble,11,seed,1.0586,0.2685,0.7002,4589,0.013767
games,8,none,ensemble,11,seed,0.7027,0.1019,0.7455,6941,0.020823
games,4,chain,team,11,seed,0.5724,0.1935,0.6821,2891,0.008673
games,4,star,team,11,seed,0.6853,0.1066,0.8007,3441,0.010323
games,4,full,team,11,seed,0.6249,0.0708,0.7302,3594,0.010782
games,4,hierarchy,team,11,seed,0.4222,0.1861,0.701,3457,0.010371
games,6,chain,team,11,seed,0.5041,0.1909,0.7829,5681,0.017043
games,6,star,team,11,seed,0.5013,0.1598,0.7104,5371,0.016113
games,6,full,team,11,seed,0.4155,0.1023,0.7935,4049,0.012147
games,6,hierarchy,team,11,seed,0.5645,0.1934,0.7893,4037,0.012111
games,8,chain,team,11,seed,0.4843,0.183,0.6711,5712,0.017136
games,8,star,team,11,seed,0.5343,0.1341,0.8156,7590,0.02277
games,8,full,team,11,seed,0.4635,0.1296,0.9405,6263,0.018789
games,8,hierarchy,team,11,seed,0.3869,0.1504,0.8069,6062,0.018186
games,1,none,single_llm,11,paraphrase,1.1251,0.5486,0.5329,741,0.002223
games,4,none,ensemble,11,paraphrase,1.0899,0.3045,0.5948,3379,0.010137
games,6,none,ensemble,11,paraphrase,0.7432,0.3049,0.7648,5023,0.015069
games,8,none,ensemble,11,paraphrase,0.7849,0.243,0.6654,6237,0.018711
games,4,chain,team,11,paraphrase,0.7722,0.3167,0.6133,3475,0.010425
games,4,star,team,11,paraphrase,0.722,0.2651,0.6737,3625,0.010875
games,4,full,team,11,paraphrase,0.8546,0.2684,0.6643,3465,0.010395
games,4,hierarchy,team,11,paraphrase,0.8205,0.1958,0.7188,3316,0.009948
games,6,chain,team,11,paraphrase,0.7072,0.2418,0.7292,5507,0.016521
games,6,star,team,11,paraphrase,0.7242,0.0901,0.7288,4720,0.01416
games,6,full,team,11,paraphrase,0.3964,0.1885,0.8171,4278,0.012834
games,6,hierarchy,team,11,paraphrase,0.6552,0.1781,0.701,5509,0.016527
games,8,chain,team,11,paraphrase,0.5224,0.2318,0.6314,7591,0.022773
games,8,star,team,11,paraphrase,0.5869,0.176,0.7838,5497,0.016491
games,8,full,team,11,paraphrase,0.6149,0.1504,0.7548,6085,0.018255
games,8,hierarchy,team,11,paraphrase,0.4886,0.2211,0.7578,6817,0.020451
games,1,none,single_llm,12,seed,1.1987,0.3808,0.5207,978,0.002934
games,4,none,ensemble,12,seed,0.7118,0.313,0.7321,2927,0.008781
games,6,none,ensemble,12,seed,1.0857,0.277,0.7483,4813,0.014439
games,8,none,ensemble,12,seed,0.7239,0.1979,0.7534,7296,0.021888
games,4,chain,team,12,seed,0.7481,0.1835,0.7812,3494,0.010482
