domain,n_agents,topology_family,condition,prompt_id,variation_type,answer_entropy,flip_rate,self_consistency,total_tokens,total_cost
games,6,full,team,4,seed,0.6829,0.3793,0.7667,142430,0.42729
games,6,hierarchy,team,4,seed,0.6829,0.3793,0.7667,142430,0.42729
games,8,none,ensemble,4,seed,1.022,0.5172,0.6333,192474,0.577422
games,8,chain,team,4,seed,0.534,0.3103,0.8333,190046,0.570138
games,8,star,team,4,seed,0.534,0.3103,0.8333,190046,0.570138
games,8,full,team,4,seed,0.534,0.3103,0.8333,190046,0.570138
games,8,hierarchy,team,4,seed,0.534,0.3103,0.8333,190046,0.570138
games,1,none,single_llm,4,paraphrase,1.27,0.7931,0.4,23791,0.071373
games,4,none,ensemble,4,paraphrase,1.1391,0.5862,0.5,96831,0.290493
games,4,chain,team,4,paraphrase,0.7698,0.5172,0.7,94767,0.284301
games,4,star,team,4,paraphrase,0.7698,0.5172,0.7,94767,0.284301
games,4,full,team,4,paraphrase,0.7698,0.5172,0.7,94767,0.284301
games,4,hierarchy,team,4,paraphrase,0.7698,0.5172,0.7,94767,0.284301
games,6,none,ensemble,4,paraphrase,1.0281,0.5862,0.6,144659,0.433977
games,6,chain,team,4,paraphrase,0.6829,0.3793,0.7667,142430,0.42729
games,6,star,team,4,paraphrase,0.6829,0.3793,0.7667,142430,0.42729
games,6,full,team,4,paraphrase,0.6829,0.3793,0.7667,142430,0.42729
games,6,hierarchy,team,4,paraphrase,0.6829,0.3793,0.7667,142430,0.42729
games,8,none,ensemble,4,paraphrase,1.022,0.5172,0.6333,192474,0.577422
games,8,chain,team,4,paraphrase,0.534,0.3103,0.8333,190046,0.570138
games,8,star,team,4,paraphrase,0.534,0.3103,0.8333,190046,0.570138
games,8,full,team,4,paraphrase,0.534,0.3103,0.8333,190046,0.570138
games,8,hierarchy,team,4,paraphrase,0.534,0.3103,0.8333,190046,0.570138
games,1,none,single_llm,5,seed,1.3266,0.7241,0.4,23967,0.071901
games,4,none,ensemble,5,seed,1.2158,0.7241,0.4667,95795,0.287385
games,4,chain,team,5,seed,0.7155,0.4138,0.7,97201,0.291603
games,4,star,team,5,seed,0.7155,0.4138,0.7,97201,0.291603
games,4,full,team,5,seed,0.7155,0.4138,0.7,97201,0.291603
games,4,hierarchy,team,5,seed,0.7155,0.4138,0.7,97201,0.291603
games,6,none,ensemble,5,seed,1.1482,0.6207,0.5333,143409,0.430227
games,6,chain,team,5,seed,0.7155,0.4138,0.7,145071,0.435213
games,6,star,team,5,seed,0.7155,0.4138,0.7,145071,0.435213
games,6,full,team,5,seed,0.7155,0.4138,0.7,145071,0.435213
games,6,hierarchy,team,5,seed,0.7155,0.4138,0.7,145071,0.435213
games,8,none,ensemble,5,seed,0.9932,0.6207,0.6333,192070,0.57621
games,8,chain,team,5,seed,0.6804,0.4138,0.7333,193035,0.579105
games,8,star,team,5,seed,0.6804,0.4138,0.7333,193035,0.579105
games,8,full,team,5,seed,0.6804,0.4138,0.7333,193035,0.579105
games,8,hierarchy,team,5,seed,0.6804,0.4138,0.7333,193035,0.579105
games,1,none,single_llm,5,paraphrase,1.3266,0.7241,0.4,23967,0.071901
games,4,none,ensemble,5,paraphrase,1.2158,0.7241,0.4667,95795,0.287385
games,4,chain,team,5,paraphrase,0.7155,0.4138,0.7,97201,0.291603
games,4,star,team,5,paraphrase,0.7155,0.4138,0.7,97201,0.291603
games,4,full,team,5,paraphrase,0.7155,0.4138,0.7,97201,0.291603
games,4,hierarchy,team,5,paraphrase,0.7155,0.4138,0.7,97201,0.291603
games,6,none,ensemble,5,paraphrase,1.1482,0.6207,0.5333,143409,0.430227
games,6,chain,team,5,paraphrase,0.7155,0.4138,0.7,145071,0.435213
games,6,star,team,5,paraphrase,0.7155,0.4138,0.7,145071,0.435213
games,6,full,team,5,paraphrase,0.7155,0.4138,0.7,145071,0.435213
games,6,hierarchy,team,5,paraphrase,0.7155,0.4138,0.7,145071,0.435213
games,8,none,ensemble,5,paraphrase,0.9932,0.6207,0.6333,192070,0.57621
games,8,chain,team,5,paraphrase,0.6804,0.4138,0.7333,193035,0.579105
games,8,star,team,5,paraphrase,0.6804,0.4138,0.7333,193035,0.579105
games,8,full,team,5,paraphrase,0.6804,0.4138,0.7333,193035,0.579105
games,8,hierarchy,team,5,paraphrase,0.6804,0.4138,0.7333,193035,0.579105
