n_agents,topology_family,subtask,accuracy,human_accuracy,single_mllm_accuracy,consistency,flip_rate,total_tokens,total_cost
32,star,spatial_perception,0.9392,0.95,0.55,0.6832,0.0331,72000,0.216
32,chain,spatial_perception,0.8518,0.95,0.55,0.6524,0.0314,72000,0.216
32,ring,spatial_perception,0.8789,0.95,0.55,0.6703,0.0331,72000,0.216
32,sparse,spatial_perception,0.7949,0.95,0.55,0.5838,0.0324,72000,0.216
32,dense,spatial_perception,0.9234,0.95,0.55,0.6995,0.0316,72000,0.216
32,star,pattern_recognition,0.8969,0.9,0.58,0.685,0.032,72000,0.216
32,chain,pattern_recognition,0.8137,0.9,0.58,0.648,0.0312,72000,0.216
32,ring,pattern_recognition,0.8382,0.9,0.58,0.6693,0.0325,72000,0.216
32,sparse,pattern_recognition,0.7608,0.9,0.58,0.581,0.0313,72000,0.216
32,dense,pattern_recognition,0.8762,0.9,0.58,0.7009,0.0318,72000,0.216
64,star,fine_grained_discrimination,0.8681,0.92,0.42,0.7028,0.0285,153600,0.4608
64,chain,fine_grained_discrimination,0.7579,0.92,0.42,0.6668,0.0305,153600,0.4608
64,ring,fine_grained_discrimination,0.7903,0.92,0.42,0.6836,0.0301,153600,0.4608
64,sparse,fine_grained_discrimination,0.6884,0.92,0.42,0.6018,0.0308,153600,0.4608
64,dense,fine_grained_discrimination,0.848,0.92,0.42,0.7216,0.0303,153600,0.4608
64,star,visual_tracking,0.8727,0.88,0.48,0.7026,0.031,153600,0.4608
64,chain,visual_tracking,0.7827,0.88,0.48,0.6699,0.03,153600,0.4608
64,ring,visual_tracking,0.8161,0.88,0.48,0.6856,0.0298,153600,0.4608
64,sparse,visual_tracking,0.7284,0.88,0.48,0.5991,0.0301,153600,0.4608
64,dense,visual_tracking,0.8603,0.88,0.48,0.7197,0.0302,153600,0.4608
64,star,spatial_perception,0.9442,0.95,0.55,0.7032,0.0292,153600,0.4608
64,chain,spatial_perception,0.8683,0.95,0.55,0.6689,0.0303,153600,0.4608
64,ring,spatial_perception,0.8968,0.95,0.55,0.6831,0.0305,153600,0.4608
64,sparse,spatial_perception,0.8195,0.95,0.55,0.6003,0.0311,153600,0.4608
64,dense,spatial_perception,0.9264,0.95,0.55,0.7201,0.0293,153600,0.4608
64,star,pattern_recognition,0.8971,0.9,0.58,0.7035,0.0293,153600,0.4608
64,chain,pattern_recognition,0.8282,0.9,0.58,0.6681,0.0288,153600,0.4608
64,ring,pattern_recognition,0.8516,0.9,0.58,0.6842,0.0292,153600,0.4608
64,sparse,pattern_recognition,0.7765,0.9,0.58,0.5998,0.0299,153600,0.4608
64,dense,pattern_recognition,0.8883,0.9,0.58,0.7201,0.0303,153600,0.4608
128,star,fine_grained_discrimination,0.8828,0.92,0.42,0.6985,0.0298,326400,0.9792
128,chain,fine_grained_discrimination,0.7819,0.92,0.42,0.6615,0.0299,326400,0.9792
128,ring,fine_grained_discrimination,0.8146,0.92,0.42,0.6809,0.0299,326400,0.9792
128,sparse,fine_grained_discrimination,0.7145,0.92,0.42,0.592,0.03,326400,0.9792
128,dense,fine_grained_discrimination,0.8647,0.92,0.42,0.7154,0.0305,326400,0.9792
128,star,visual_tracking,0.8775,0.88,0.48,0.698,0.0302,326400,0.9792
128,chain,visual_tracking,0.7956,0.88,0.48,0.6641,0.0305,326400,0.9792
128,ring,visual_tracking,0.8249,0.88,0.48,0.6802,0.0305,326400,0.9792
128,sparse,visual_tracking,0.7461,0.88,0.48,0.5931,0.0301,326400,0.9792
128,dense,visual_tracking,0.8629,0.88,0.48,0.7148,0.0298,326400,0.9792
128,star,spatial_perception,0.9437,0.95,0.55,0.6964,0.0293,326400,0.9792
128,chain,spatial_perception,0.8781,0.95,0.55,0.6641,0.0302,326400,0.9792
128,ring,spatial_perception,0.9029,0.95,0.55,0.6797,0.0296,326400,0.9792
128,sparse,spatial_perception,0.8296,0.95,0.55,0.5928,0.03,326400,0.9792
128,dense,spatial_perception,0.9338,0.95,0.55,0.7148,0.0299,326400,0.9792
128,star,pattern_recognition,0.9026,0.9,0.58,0.6975,0.0301,326400,0.9792
128,chain,pattern_recognition,0.8361,0.9,0.58,0.6614,0.0302,326400,0.9792
128,ring,pattern_recognition,0.8596,0.9,0.58,0.6803,0.0301,326400,0.9792
128,sparse,pattern_recognition,0.7894,0.9,0.58,0.5931,0.0297,326400,0.9792
128,dense,pattern_recognition,0.8926,0.9,0.58,0.7141,0.0299,326400,0.9792
256,star,fine_grained_discrimination,0.8949,0.92,0.42,0.6893,0.0298,691200,2.0736
256,chain,fine_grained_discrimination,0.7998,0.92,0.42,0.6532,0.0301,691200,2.0736
256,ring,fine_grained_discrimination,0.8306,0.92,0.42,0.6714,0.0299,691200,2.0736
256,sparse,fine_grained_discrimination,0.7351,0.92,0.42,0.5834,0.0297,691200,2.0736
256,dense,fine_grained_discrimination,0.8793,0.92,0.42,0.7062,0.03,691200,2.0736
256,star,visual_tracking,0.8831,0.88,0.48,0.6895,0.0296,691200,2.0736
256,chain,visual_tracking,0.8105,0.88,0.48,0.6531,0.0296,691200,2.0736
256,ring,visual_tracking,0.8352,0.88,0.48,0.6704,0.0303,691200,2.0736
256,sparse,visual_tracking,0.7578,0.88,0.48,0.5821,0.0302,691200,2.0736
256,dense,visual_tracking,0.8711,0.88,0.48,0.7072,0.0306,691200,2.0736
256,star,spatial_perception,0.9479,0.95,0.55,0.6899,0.0301,691200,2.0736
256,chain,spatial_perception,0.8864,0.95,0.55,0.653,0.0298,691200,2.0736
256,ring,spatial_perception,0.9095,0.95,0.55,0.6704,0.0306,691200,2.0736
256,sparse,spatial_perception,0.8377,0.95,0.55,0.582,0.0301,691200,2.0736
256,dense,spatial_perception,0.9369,0.95,0.55,0.7062,0.03,691200,2.0736
256,star,pattern_recognition,0.9054,0.9,0.58,0.6884,0.0294,691200,2.0736
256,chain,pattern_recognition,0.8402,0.9,0.58,0.654,0.0306,691200,2.0736
256,ring,pattern_recognition,0.8669,0.9,0.58,0.6713,0.0302,691200,2.0736
256,sparse,pattern_recognition,0.7974,0.9,0.58,0.5828,0.03,691200,2.0736
256,dense,pattern_recognition,0.8948,0.9,0.58,0.707,0.0297,691200,2.0736
