topology_id,W,V,n_edges,shape_hash,density,lambda_2,eigen_ratio,avg_degree,diameter,clustering_coeff,family,win_rate,avg_score,std_score,avg_llm_calls,avg_tokens,avg_latency,robustness_drop
W4_V3_023_c12e372c36b5,4,3,6,c12e372c36b5,0.5,0.518805695907984,0.09328432424719964,2.25,4,0.0,moderate,0.45849192740161654,16.694607727472146,2.812262108897575,201,50835,0.2877786506437122,0.16988186231650923
W4_V3_024_a33be05ac0fb,4,3,7,a33be05ac0fb,0.5833333333333334,0.776222410503313,0.11905355552984791,2.5,3,0.0,moderate,0.49139329047281544,13.835575696470634,2.762910064290777,220,58597,0.22471971181163763,0.09916187277041141
W4_V3_025_952f5797917c,4,3,6,952f5797917c,0.5,0.3186693563950224,0.0598619492091804,2.25,4,0.0,moderate,0.47718116791713233,16.09481089962124,2.7842282481243017,224,64640,0.3341000870853412,0.16491480837424902
W4_V3_026_34bd5d310509,4,3,7,34bd5d310509,0.5833333333333334,0.5780607721060114,0.09727207644714496,2.5,4,0.0,moderate,0.47466991387095603,15.355472031541305,2.787995129193566,270,77084,0.28977654841397504,0.09645522402263004
W4_V3_027_e3694cae3e19,4,3,8,e3694cae3e19,0.6666666666666666,0.7985276617807596,0.11836056978099173,2.75,3,0.0,moderate,0.5508538995658532,17.195745375965185,2.67371915065122,249,80636,0.2683477158978256,0.08982485609799187
W4_V3_028_237f59b91d25,4,3,6,237f59b91d25,0.5,0.6728088331968111,0.11316793150691357,2.25,4,0.0,moderate,0.5063921866530992,13.484798555547805,2.7404117200203513,218,63247,0.3319740930656858,0.1610508805403857
W4_V3_029_099e152b933f,4,3,5,099e152b933f,0.4166666666666667,0.36359506278950665,0.0717654444253473,2.0,4,0.0,moderate,0.48894153991663686,10.79204032745311,2.7665876901250446,190,46252,0.18409238165356245,0.16914296344564228
W4_V3_030_ab29d013fd41,4,3,6,ab29d013fd41,0.5,0.5571727975939876,0.09912458883384764,2.25,4,0.0,moderate,0.5093905310634836,12.123097296152459,2.7359142034047745,216,58356,0.3093378912652302,0.1744767964434511
W4_V3_031_7c4fa3614e1b,4,3,7,7c4fa3614e1b,0.5833333333333334,0.6972243622680054,0.1131077739293802,2.5,4,0.0,moderate,0.5325051415706133,14.15830317997251,2.70124228764408,212,60902,0.28442866792268556,0.10496835783299899
W4_V3_032_d373f622b6e5,4,3,6,d373f622b6e5,0.5,0.5857864376269044,0.10532785668739456,2.25,4,0.0,moderate,0.4858871546929707,14.172988351524006,2.771169267960544,321,81663,0.4029308319225412,0.11443007327822324
W4_V3_033_305475c999c6,4,3,6,305475c999c6,0.5,0.3656510978643664,0.06420062331346549,2.25,4,0.0,moderate,0.45615148478606926,13.947225322818342,2.815772772820896,252,65614,0.19503554851306726,0.1534533557169861
W4_V3_034_e9b7ffeb3301,4,3,6,e9b7ffeb3301,0.5,0.46791111376204353,0.0884451410853522,2.25,4,0.0,moderate,0.44620956190136246,12.560355601767238,2.8306856571479564,190,43180,0.15464773773045043,0.22221074669418228
W4_V3_035_ef9b44287c4b,4,3,7,ef9b44287c4b,0.5833333333333334,0.5857864376269044,0.09763107293781743,2.5,4,0.0,moderate,0.44871645047258024,11.739419037989004,2.8269253242911296,335,82025,0.4170875521605985,0.14774666652821528
W4_V3_036_eeb4498f0c3f,4,3,8,eeb4498f0c3f,0.6666666666666666,0.6972243622680053,0.10764033277922894,2.75,4,0.0,moderate,0.5484107943461655,13.100643914511629,2.6773838084807515,258,75605,0.31659219643849507,0.11265197773118543
W4_V3_037_a6f5fc8d53de,4,3,7,a6f5fc8d53de,0.5833333333333334,0.6739708735496803,0.10161678476947035,2.5,3,0.0,moderate,0.45006543808007493,13.043524640998902,2.8249018428798873,232,61094,0.3019769261272569,0.16788147453459484
W4_V3_038_e6f4cc969038,4,3,7,e6f4cc969038,0.5833333333333334,0.8806388431459645,0.13667820036375866,2.5,3,0.0,moderate,0.5058230682988839,14.597511432185412,2.741265397551674,241,62263,0.30502471308366536,0.1345814020475953
W4_V3_039_3e939ee2cfd3,4,3,7,3e939ee2cfd3,0.5833333333333334,0.6906711320671316,0.11491871993311124,2.5,4,0.0,moderate,0.5548754820812815,17.018538138688243,2.667686776878078,246,60670,0.3547571476544432,0.14538247675441412
W4_V3_040_ef5865c85d66,4,3,8,ef5865c85d66,0.6666666666666666,0.88996140798179,0.13137899350346152,2.75,3,0.0,moderate,0.5201925413592443,11.625431515849643,2.7197111879611335,300,74006,0.36642375962750257,0.12457818279736226
W4_V3_041_078d948da9c8,4,3,7,078d948da9c8,0.5833333333333334,0.7576704117945419,0.13170213786817406,2.5,4,0.0,moderate,0.49678555247703843,13.523169851019128,2.7548216712844424,233,66306,0.3531745986496579,0.06050024677206106
W4_V3_042_5106b0fcbf15,4,3,8,5106b0fcbf15,0.6666666666666666,0.9077072051744562,0.13646541444719293,2.75,3,0.0,moderate,0.4995649566239181,14.259548111545687,2.750652565064123,267,60688,0.3634997741857055,0.16848717309159222
W4_V3_043_1fa99804679c,4,3,7,1fa99804679c,0.5833333333333334,0.5642760700274955,0.09674615168740389,2.5,4,0.0,moderate,0.440375435686712,14.580247248787826,2.839436846469932,227,56389,0.2556771913822061,0.17650133784096875
W4_V3_044_3d7c69aadc56,4,3,8,3d7c69aadc56,0.6666666666666666,0.7715327560250662,0.12231163640451477,2.75,4,0.0,moderate,0.5175155152669633,16.808653591318475,2.723726727099555,310,103018,0.42494965793691497,0.14150631197057845
W4_V3_045_5175c16caeff,4,3,9,5175c16caeff,0.75,0.910199388641035,0.13032918630812543,3.0,3,0.0,dense,0.5020643150563862,14.124590504465441,2.7469035274154208,260,63609,0.3771175171208831,0.09011380160817854
W4_V3_046_0c59162ce9e9,4,3,7,0c59162ce9e9,0.5833333333333334,0.37380193147270646,0.06086654832648202,2.5,4,0.0,moderate,0.5135052059023301,15.288365953924849,2.7297421911465047,312,72645,0.37105234135508997,0.1023397842221555
W4_V3_047_c6ade81a0b3b,4,3,8,c6ade81a0b3b,0.6666666666666666,0.6277186767309856,0.09850768427922486,2.75,4,0.0,moderate,0.47782922846721765,16.000793391521697,2.7832561572991734,277,69136,0.3617391046438131,0.08016986218523284
W4_V3_048_a61625984fc9,4,3,9,a61625984fc9,0.75,0.7985276617807593,0.11836056978099169,3.0,4,0.0,dense,0.485358519943685,14.292316446651085,2.7719622200844727,334,70561,0.449418336451513,0.09799434053031067
W4_V3_049_9dd40adbba11,4,3,10,9dd40adbba11,0.8333333333333334,0.9161276405643922,0.12554731861158558,3.25,3,0.0,dense,0.527840934180379,16.758405732641357,2.7082385987294315,201,59843,0.1822202800273029,0.11927847144160525
W4_V3_050_9f9d6da1c1bd,4,3,8,9f9d6da1c1bd,0.6666666666666666,0.7029294556367253,0.09922954846870358,2.75,3,0.0,moderate,0.507864763511172,15.36425314089917,2.7382028547332418,245,76453,0.3056439010068584,0.12369869344762754
W4_V3_051_67f4c0afbf62,4,3,8,67f4c0afbf62,0.6666666666666666,0.9398235834534012,0.1405578051097021,2.75,3,0.0,moderate,0.5163905132838412,12.901668262297022,2.725414230074238,252,73458,0.35239121234551474,0.0849105842073144
W4_V3_052_cdb4cf02bfb0,4,3,9,cdb4cf02bfb0,0.75,1.2534317530042827,0.17405215130135843,3.0,3,0.0,dense,0.525241343926393,16.525079448605176,2.7121379841104103,240,68656,0.35421925952426603,0.0961761150001531
W4_V3_053_60997e898c2f,4,3,8,60997e898c2f,0.6666666666666666,1.0000000000000004,0.15240294919944816,2.75,3,0.0,moderate,0.5512098067081592,15.899708654347702,2.673185289937761,298,104249,0.34734191555669774,0.056560997904671256
W4_V3_054_71268460605b,4,3,8,71268460605b,0.6666666666666666,1.2384428181681095,0.20219852834662697,2.75,3,0.0,moderate,0.5721303460093409,14.179015005676852,2.6418044809859884,277,64245,0.26981763929469305,0.06862832855310105
W4_V3_055_ff4ccf2ba477,4,3,9,ff4ccf2ba477,0.75,1.3088744772233794,0.19029700331092317,3.0,3,0.0,dense,0.5082334368877239,14.758256151678177,2.737649844668414,304,72235,0.27969482816836777,0.09746394089504479
W4_V3_056_f8e179362ac9,4,3,10,f8e179362ac9,0.8333333333333334,1.627718676730986,0.2207890075482393,3.25,3,0.0,dense,0.5403401611301024,15.173160591136146,2.6894897583048465,332,100530,0.44306056870575344,0.09090194116804398
W4_V3_057_05af8f213f91,4,3,9,05af8f213f91,0.75,1.5857864376269049,0.24167852989482705,3.0,3,0.0,dense,0.5267319356218101,14.051366106714534,2.709902096567285,296,79383,0.4108583627866056,0.08785816957587196
W4_V3_058_c0c2892ac8e8,4,3,10,c0c2892ac8e8,0.8333333333333334,1.585786437626904,0.22094132955055384,3.25,3,0.0,dense,0.5485125351547292,15.82642898489286,2.677231197267906,197,46400,0.13941919400758473,0.05465206679534468
W4_V3_059_4b0ff71ccde0,4,3,11,4b0ff71ccde0,0.9166666666666666,1.8586638843446355,0.2437209036066336,3.5,3,0.0,dense,0.5948452064608718,14.710816377956599,2.6077321903086923,340,108742,0.43854310326369306,0.0947742433537486
W4_V3_060_3ee5f0d83bf7,4,3,12,3ee5f0d83bf7,1.0,2.999999999999999,0.37499999999999983,3.75,2,0.0,star,0.6447561440913071,16.480976393354492,2.5328657838630395,294,74486,0.3642991655962785,0.057440883914691376
